date,heartrate
2025-03-06 15:42:14 +0100,108.0
2025-03-06 15:42:20 +0100,107.0
2025-03-06 15:42:25 +0100,107.0
2025-03-06 15:42:26 +0100,108.0
2025-03-06 15:42:35 +0100,111.0
2025-03-06 15:42:36 +0100,112.0
2025-03-06 15:42:42 +0100,110.0
2025-03-06 15:42:46 +0100,112.0
2025-03-06 15:42:53 +0100,119.0
2025-03-06 15:43:00 +0100,136.0
2025-03-06 15:43:05 +0100,138.0
2025-03-06 15:43:06 +0100,139.0
2025-03-06 15:43:15 +0100,141.0
2025-03-06 15:43:20 +0100,142.0
2025-03-06 15:43:22 +0100,141.0
2025-03-06 15:45:59 +0100,76.0
2025-03-06 15:46:03 +0100,79.0
2025-03-06 15:46:09 +0100,79.0
2025-03-06 15:46:12 +0100,77.0
2025-03-06 15:46:15 +0100,77.0
2025-03-06 15:46:24 +0100,78.0
2025-03-06 15:46:25 +0100,78.0
2025-03-06 15:46:33 +0100,76.0
2025-03-06 15:46:39 +0100,73.0
2025-03-06 15:46:44 +0100,71.0
2025-03-06 15:46:49 +0100,68.0
2025-03-06 15:46:51 +0100,67.0
2025-03-06 15:46:55 +0100,70.0
2025-03-06 15:47:03 +0100,73.0
2025-03-06 15:47:05 +0100,74.0
2025-03-06 15:47:14 +0100,74.0
2025-03-06 15:47:19 +0100,73.0
2025-03-06 15:47:23 +0100,72.0
2025-03-06 15:43:54 +0100,69.0
2025-03-06 15:47:40 +0100,72.0
2025-03-06 15:53:15 +0100,80.0
2025-03-06 15:58:32 +0100,82.0
2025-03-06 16:05:29 +0100,67.0
2025-03-06 16:12:51 +0100,65.0
2025-03-06 16:22:33 +0100,133.0
2025-03-06 16:22:38 +0100,136.0
2025-03-06 16:22:42 +0100,137.0
2025-03-06 16:22:48 +0100,137.0
2025-03-06 16:22:51 +0100,137.0
2025-03-06 16:22:58 +0100,141.0
2025-03-06 16:23:02 +0100,143.0
2025-03-06 16:23:05 +0100,145.0
2025-03-06 16:23:10 +0100,145.0
2025-03-06 16:23:14 +0100,142.0
2025-03-06 16:23:23 +0100,142.0
2025-03-06 16:23:27 +0100,140.0
2025-03-06 16:23:30 +0100,141.0
2025-03-06 16:23:37 +0100,142.0
2025-03-06 16:23:40 +0100,143.0
2025-03-06 16:23:44 +0100,138.0
2025-03-06 16:23:51 +0100,139.0
2025-03-06 16:27:27 +0100,127.0
2025-03-06 16:27:31 +0100,126.0
2025-03-06 16:27:33 +0100,127.0
2025-03-06 16:27:38 +0100,125.0
2025-03-06 16:27:44 +0100,124.0
2025-03-06 16:27:52 +0100,111.0
2025-03-06 16:27:57 +0100,114.0
2025-03-06 16:28:02 +0100,119.0
2025-03-06 16:28:04 +0100,117.0
2025-03-06 16:28:10 +0100,121.0
2025-03-06 16:28:17 +0100,107.0
2025-03-06 16:28:20 +0100,105.0
2025-03-06 16:28:24 +0100,100.0
2025-03-06 16:28:28 +0100,103.0
2025-03-06 16:28:36 +0100,97.0
2025-03-06 16:28:42 +0100,96.0
2025-03-06 16:28:44 +0100,96.0
2025-03-06 16:28:48 +0100,99.0
2025-03-06 16:28:57 +0100,98.0
2025-03-06 16:29:01 +0100,99.0
2025-03-06 16:29:03 +0100,99.0
2025-03-06 16:29:09 +0100,104.0
2025-03-06 16:29:13 +0100,106.0
2025-03-06 16:29:18 +0100,108.0
2025-03-06 16:32:12 +0100,77.0
2025-03-06 16:40:02 +0100,65.0
2025-03-06 16:42:40 +0100,60.0
2025-03-06 16:48:23 +0100,94.0
2025-03-06 16:58:47 +0100,68.0
2025-03-06 17:06:32 +0100,69.0
2025-03-06 17:07:46 +0100,61.0
2025-03-06 17:18:10 +0100,67.0
2025-03-06 17:23:28 +0100,67.0
